Shop code,Business name,Address,Labels,Google Search – Mobile,Google Search – Desktop,Google Maps – Mobile,Google Maps – Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using mobile,Number of people that viewed your Business Profile on Google Search using desktop,Number of people that viewed your Business Profile on Google Maps using mobile,Number of people that viewed your Business Profile on Google Maps using desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
03133544890458944871,"Allo Health, Kukatpally - Sexual Health Clinic","Sravanthi Polyclinics, Kukatpally Housing Board Colony, HIG-170, Rd, MIG No, 1, Opp. Naturals, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072","Hyderabad, T1, TS",4462,314,824,55,111,0,0,25,52,0,0,0
08958831399076567919,"Allo Health, Panvel - Best Sexologist in Navi Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Bhusare Nursing Home, Ground Floor, CIDCO Office, Plot no 30, Sector-1, New, Panvel East, Panvel, Mumbai, Maharashtra 410206","MH, Mumbai, T1",2003,157,815,19,38,0,0,76,13,0,0,0
15756288710339431315,"Allo Health, Thoraipakkam - Best Sexologist in Chennai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Pearl Singapore Fertility Centre, 1st Floor, Plot no 5&3, Vinayaga Ave, Next to Apollo Dental Clinic, Okkiyampettai, Sri Sowdeswari Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097","Chennai, T1, TN",2356,176,887,31,41,0,0,35,25,0,0,0
17065025647806636147,"Allo Health, Sainikpuri - Best Sexologist in Hyderabad | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","The Olive Tree Multispeciality Clinic, 2nd Floor, Crescent, Cresena Krishna, Metropolis, Dr. AS Rao Nagar Rd, near Poloumi hospital, Lakshmipuram Colony, A. S. Rao, Nagar, Secunderabad, Hyderabad, Telangana 500026","Hyderabad, T1, TS",7118,231,1428,31,110,0,0,59,24,0,0,0
00583984590134158487,"Allo Health, Kalyan West - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Shreeji Tandle Arcade, 3rd Floor, above Waman Hari pethe, Kalyan West, Kalyan, Mumbai, Maharashtra 421301","MH, Mumbai, T1",2433,138,601,48,85,0,0,65,34,0,0,0
05807279908494604746,"Allo Health, Ghatkopar - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Room No - 6, 1st floor, Pasaydan Bhavan, Vedant Central Hospital, Ramchandra B Kadam Marg, next to Jain Temple in, Jivdaya Lane, Ghatkopar West, Mumbai, Maharashtra 400084","MH, Mumbai, T1",13889,406,1281,61,115,0,0,33,44,0,0,0
04576356447275594348,Allo Health - Kemps Corner,"Aarav Eye Care Hospital, Yash Apartment, August Kranti Rd, opposite, Cumballa Hill, Gowalia Tank, Tardeo, Mumbai, Maharashtra 400026","MH, Mumbai, T1",1418,137,650,32,23,0,0,50,10,0,0,0
05839561381213993809,"Allo Health, Wakad - Best Sexologist in Pune | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Curesta Specialty Clinic, Office no. 204, 2nd Floor, Oriana Crest, 205, above wellness clinic, Datta Mandir, Rd, Shankar Kalat Nagar, Wakad, Pune, Maharashtra, Pune, Maharashtra 411057","MH, Pune, T1",6660,285,1385,32,144,0,0,46,50,0,0,0
14366793370369453443,"Allo Health, Ranchi - Best Sexologist in Ranchi | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Jeevah Health Care, B, 327, Rd Number 4, Ashok Kunj, Ashok Nagar, Ranchi, Jharkhand, Ranchi, Jharkhand 834002","JH, Ranchi, T2",1958,153,669,38,80,0,0,48,28,0,0,0
08075446150041527464,"Allo Health, Aurangabad - Best Sexologist in Aurangabad | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","MediArts Hospital, Ground Floor, Shubham Complex, Pundlik Nagar Rd, near, Nayara Petrol Pump, Garkheda, Chhatrapati Sambhajinagar, Aurangabad, Maharashtra 431009","Aurangabad, MH, T2",2292,106,788,25,51,0,0,36,19,0,0,0
12976854545908947553,"Allo Health, RT Nagar","Ekaiva Medical Care, 2nd Floor, #28, 1st Main, CBI Main Rd, Ganganagar, Bengaluru, Karnataka 560032","Bangalore, KA, T1",2,2,4,3,0,0,0,10,0,0,0,0
07870382480553794395,"Allo Health, Andheri East - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Apple Diagnostics, 2nd Floor, 202/203 A Wing, Siddhi Aura, Above HDFC Bank, Andheri East, Mumbai, Maharashtra 400069","MH, Mumbai, T1",14967,398,1362,52,118,0,0,25,61,0,0,0
12675523552726750630,"Allo Health, Dilsukhnagar - Best Sexologist & Sex Doctors in Hyderabad","Pranava Speciality Clinics, Shop No 3, Road No 3, Main Road, opp. Axis, Bank, Alkapuri Colony, Kothapet, Hyderabad, Telangana 500102","Hyderabad, T1, TS",1504,89,1425,35,4,0,0,41,26,0,0,0
06099704764092135486,"Allo Health, Ameerpet - Sexual Health Clinic","Radiance Diagnostics - Chamber No. 2, 1st Floor, Opp: Big Bazar, Ameerpet, Hyderabad, Telangana 500038","Hyderabad, T1, TS",4983,365,1218,50,103,0,0,45,66,0,0,0
01180544181989760876,"Allo Health, Mysuru - Best Sexologist in Mysore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Darlas Health Care - Chamber No. 10, 1st Floor, New CH 44, 7th Main, Swimming Pool Rd, JSS College Road, Saraswathipuram, Mysuru, Karnataka 570009","KA, Mysore, T2",5235,126,1154,43,124,0,0,34,37,0,0,0
02740161375616232997,"Allo Health, Kothrud - Best Sexologist, Sex Doctors, Sex Health Clinic & STI/STD Specialist in Pune","DMS Diagnostics, First Floor, Above VAN Heusen Showroom, Paud Rd, near CNG Gas Pump, opp. Kothrud, Ramkrishna Paramhans Nagar, Kothrud, Pune, Maharashtra 411038","MH, Pune, T1",6932,281,1605,47,108,0,0,50,32,0,0,0
12010769008727874397,"Allo Health, Vijayanagar - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Jeevasare Healthcare, 1st floor, Raj complex, 9th Cross Rd, Hampi Nagar, RPC Layout, Vijayanagar, Bengaluru, Karnataka 560104","Bangalore, KA, T1",6762,311,1894,59,102,0,0,32,30,0,0,0
03770701959043493752,"Allo Health, Hadapsar - Best Sexologist in Pune | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Savali Multispeciality Clinic, 1st floor, no. 161/7 l, Yash Complex, Opp Sahyadri Mom Story Hospital, Bhosale Garden Rd, Hadapsar, Pune, Maharashtra 411028","MH, Pune, T1",7430,254,1301,44,135,0,0,25,41,0,0,0
15931588103122801533,"Allo Health, Manapakkam","Dr. Gupta's Multi Speciality Clinic, Ground Floor, OPD 3, 408/1 M.G. Road, Mariamman Koil St, Ramapuram, Sriram Gardens, Indira Nagar, Manapakkam, Chennai, Tamil Nadu 600125","Chennai, T1, TN",0,0,0,0,0,0,0,0,0,0,0,0
04177518185918994204,"Allo Health, Jayanagar - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Adhventha Hospital 31,45th Cross, Sangam Circle, opposite Metro Pillar No 16, 8th Block, Jayanagar, Bengaluru, Karnataka 560070","Bangalore, KA, T1",11252,557,2219,83,193,0,0,44,82,0,0,0
04317848454253082752,Allo Health - Narsingi | Best Sexologist | Sex Doctor and Sexual Health Clinic in Hyderabad,"MedSurge Clinics, Second Floor, NO: 1-82, PLOT NO: 120, X ROADS, Manchirevula, Narsingi, Hyderabad, Telangana 500075","Hyderabad, T1, TS",1787,218,1371,64,74,0,0,30,30,0,0,0
11771832826519532285,"Allo Health, Madhapur","Leaf Hospitals, Chamber Number 4, Ground Floor, Building H, 677/152 B, Next to Biryani Bell, Sai Darbar, Allapur Rd, Sri Vivekananda, Nagar, Borabanda, Hyderabad, Hyderabad, Telangana 500114","Hyderabad, T1, TS",82,24,57,2,0,0,0,15,1,0,0,0
10585357813594260545,"Allo Health, Sahakara Nagar - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Vikyath Diagnostics Center, 1st Floor, No.61, G Block, Above IndusInd Bank, Sahakara Nagar Main Rd, G, Block, Sahakar Nagar, Byatarayanapura, Bengaluru, Karnataka 560092","Bangalore, KA, T1",7549,195,1692,41,113,0,0,37,50,0,0,0
08401352491572867625,"Allo Health, Malad - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Zenith Hospital, Mith Chowky, Parth Business Plaza, Malad, Orlem, Malad West, Mumbai, Maharashtra 400064","MH, Mumbai, T1",2804,245,474,33,74,0,0,48,34,0,0,0
13737480253474750614,"Allo Health, Ahmedabad - Best Sexologist in Ahmedabad | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Bodyline Hospital, Dev Status, Besides, New Vikas Gruh Rd, opposite Annapurna Hall, Prabhat Society, Paldi, Ahmedabad, Gujarat 380007","Ahmedabad, GJ, T1",937,136,351,25,0,0,0,29,24,0,0,0
