Available Hours FU,,,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%FU,,#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Hours SC,,0.0,0,0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Listing,,11,53,-46,-4,7,10,10,10,13,12,8,9,5,9,11,5,5,0,0,41,32,44,31,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk In,,2,57,-54,2,3,2,1,2,1,7,5,3,4,2,1,3,4,0,0,9,7,12,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Inbound,,50,368,-318,0,50,40,54,49,56,55,41,38,40,37,31,30,29,0,0,209,162,204,148,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,,,Google Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.47%,9,,,GMB,43,34,49,40,47,46,35,33,38,36,29,28,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Number,Old Number,5,,,GMB Old Nos.,17,12,12,14,15,17,19,20,15,16,8,16,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiranagar,Jayanagar",E-City,1,,,GMB : Bangalore,5,4,7,8,7,10,7,4,5,8,5,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kalyan West, Dadar",2,,,GMB : Mumbai,8,6,10,6,7,5,1,2,2,5,8,2,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilsukhnagar,"Kondapur,Sainikpuri,Attapur",-1,,,GMB : Hyderabad,3,4,5,0,5,5,3,3,6,3,2,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,0,,,GMB : Pune,3,3,7,4,2,1,0,0,3,1,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,0,,,GMB : Chennai,2,2,4,1,5,3,4,2,3,2,1,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tatya Tope Nagar,3,,,GMB : T2,5,2,4,7,6,5,1,2,4,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,Other Sources,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071175797,GMB Old No,,,,,17,12,12,13,14,17,19,19,15,16,8,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046801373,GMB Old No - Backup,,,,,0,0,0,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8069457806,GMB Old No - Backup,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8045684567,Corp. GMB,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248906252,Andheri East,,,,,1,1,1,0,2,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248930405,Thane,,,,,1,0,0,2,1,1,1,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248931329,Malad,,,,,3,1,0,0,1,1,0,0,0,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248932451,Kharghar,,,,,1,1,3,1,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248903813,Vashi,,,,,0,1,1,1,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248902940,Borivali,,,,,1,0,2,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248903123,Kalyan West,,,,,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248903535,Ghatkopar,,,,,0,1,3,0,1,0,0,0,0,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248903676,Dadar,,,,,0,0,0,1,0,1,0,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046810320,Electronic City,,,,,0,1,0,0,0,2,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046810633,HSR Layout,,,,,0,0,2,1,1,1,0,1,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047160881,Indiranagar,,,,,1,0,2,5,1,1,2,0,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047160897,Jayanagar,,,,,1,0,0,0,1,0,2,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047160977,Koramangala,,1,,,0,1,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047280291,Sahakara Nagar,,3,,,0,1,1,0,0,1,0,0,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047280292,Whitefield,,2,,,0,0,0,0,1,0,0,1,2,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047280293,Bellandur,,2,,,0,0,1,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047280294,KR Puram,,,,,1,1,0,0,2,0,0,1,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
